dept,race,gender,salary
Houston Police Department-HPD,White,Male,45279
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Asian,Male,71680
Houston Airport System (HAS),White,Male,42390
Public Works & Engineering-PWE,White,Male,107962
Houston Fire Department (HFD),Hispanic,Male,52644
Health & Human Services,Black,Male,180416
Public Works & Engineering-PWE,Black,Male,30347
Health & Human Services,Black,Male,55269
Houston Police Department-HPD,Black,Male,77076
Houston Police Department-HPD,White,Male,81239
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,White,Male,61506
Houston Fire Department (HFD),Black,Male,57815
Public Works & Engineering-PWE,Black,Male,43264
Houston Fire Department (HFD),White,Male,55437
Houston Police Department-HPD,Black,Male,52514
Houston Police Department-HPD,White,Male,61643
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Male,29557
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,White,Male,66614
Health & Human Services,Black,Female,34923
Public Works & Engineering-PWE,White,Female,60258
Health & Human Services,Asian,Female,67499
Public Works & Engineering-PWE,Black,Male,38168
Houston Fire Department (HFD),Hispanic,Male,43528
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),Hispanic,Male,165216
Houston Police Department-HPD,White,Male,45279
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Black,Male,43597
Public Works & Engineering-PWE,Black,Female,43618
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),White,Male,66523
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,Hispanic,Male,81239
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Airport System (HAS),Hispanic,Male,86297
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Black,Female,34757
Public Works & Engineering-PWE,Hispanic,Male,49483
Houston Airport System (HAS),White,Male,40144
Houston Airport System (HAS),Black,Male,28163
Public Works & Engineering-PWE,Hispanic,Male,30992
Houston Fire Department (HFD),Black,Female,96668
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Female,26125
Houston Airport System (HAS),White,Male,43826
Health & Human Services,White,Female,100791
Houston Police Department-HPD,Hispanic,Female,66614
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Male,66614
Health & Human Services,Hispanic,Female,31387
Houston Police Department-HPD,White,Male,66614
Houston Airport System (HAS),White,Female,36296
Houston Fire Department (HFD),White,Male,78355
Houston Police Department-HPD,Hispanic,Male,52514
Houston Police Department-HPD,Hispanic,Male,43443
Public Works & Engineering-PWE,Black,Female,30347
Public Works & Engineering-PWE,White,Male,44283
Houston Fire Department (HFD),White,Male,62540
Health & Human Services,Black,Female,48984
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,Hispanic,Female,30347
Public Works & Engineering-PWE,Black,Male,53373
Houston Police Department-HPD,Hispanic,Male,66614
Public Works & Engineering-PWE,Hispanic,Male,52156
Parks & Recreation,Black,Female,26125
Houston Fire Department (HFD),Hispanic,Male,66523
Houston Police Department-HPD,Hispanic,Male,77076
Houston Police Department-HPD,Native American,Male,60347
Public Works & Engineering-PWE,Black,Male,29557
Public Works & Engineering-PWE,Black,Male,30139
Houston Airport System (HAS),Hispanic,Female,26125
Houston Fire Department (HFD),White,Male,66523
Houston Fire Department (HFD),Hispanic,Male,51194
Public Works & Engineering-PWE,Black,Female,45926
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),Black,Male,62540
Houston Fire Department (HFD),White,Male,63166
Health & Human Services,Hispanic,Female,36650
Public Works & Engineering-PWE,Black,Male,41288
Houston Fire Department (HFD),Hispanic,Male,51194
Health & Human Services,Asian,Female,31554
Houston Police Department-HPD,White,Male,91181
Houston Police Department-HPD,Black,Female,66614
Public Works & Engineering-PWE,Hispanic,Male,30597
Health & Human Services,Black,Female,44200
Houston Fire Department (HFD),Black,Male,40170
Houston Fire Department (HFD),White,Male,62540
Houston Police Department-HPD,White,Male,66614
Health & Human Services,White,Male,59819
Houston Police Department-HPD,Hispanic,Male,81239
Houston Police Department-HPD,Hispanic,Female,43443
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Male,81239
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Black,Male,38646
Houston Police Department-HPD,Black,Male,42000
Parks & Recreation,Black,Male,33592
Public Works & Engineering-PWE,Black,Male,52458
Houston Police Department-HPD,Asian,Male,77076
Houston Fire Department (HFD),Hispanic,Female,51194
Houston Police Department-HPD,White,Female,81239
Houston Police Department-HPD,Black,Female,36317
Health & Human Services,Hispanic,Female,30826
Houston Fire Department (HFD),Hispanic,Male,45791
Houston Police Department-HPD,Black,Male,66614
Houston Fire Department (HFD),White,Male,89590
Houston Airport System (HAS),Black,Male,52499
Public Works & Engineering-PWE,Black,Male,34798
Public Works & Engineering-PWE,Black,Female,35942
Houston Fire Department (HFD),Black,Male,52644
Houston Police Department-HPD,White,Male,60347
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,55461
Public Works & Engineering-PWE,Black,Male,31491
Houston Police Department-HPD,White,Male,55461
Houston Airport System (HAS),Black,Male,40435
Public Works & Engineering-PWE,Black,Male,30555
Houston Police Department-HPD,Asian,Male,62383
Parks & Recreation,Black,Male,30368
Public Works & Engineering-PWE,Black,Male,40435
Houston Airport System (HAS),Black,Male,43826
Houston Police Department-HPD,Black,Male,74511
Houston Police Department-HPD,Hispanic,Male,47650
